KW,cold,hot,KW,cold,hot
14250.45,6966.302817,2055.882353,14250.45,6966.302817,2055.882353
14040.17,6880.880282,2032.352941,14040.17,6880.880282,2032.352941
14061.8,6684.190141,2091.176471,14061.8,6684.190141,2091.176471
11872.83,6627.288732,2120.588235,11872.83,6627.288732,2120.588235
11590,6379.43662,2250,11590,6379.43662,2250
11931,6130.809859,2367.647059,11931,6130.809859,2367.647059
12885.08,6291.901408,2670.588235,12885.08,6291.901408,2670.588235
13308.33,6440.985915,2829.411765,13308.33,6440.985915,2829.411765
12019.3,6064.190141,2820.588235,12019.3,6064.190141,2820.588235
12353.52,6423.06338,2500,12353.52,6423.06338,2500
12396.37,6908.309859,2476.470588,12396.37,6908.309859,2476.470588
12209.6,6726.408451,2505.882353,12209.6,6726.408451,2505.882353
12829,7326.338028,2402.941176,12829,7326.338028,2402.941176
12532.17,7549.295775,2423.529412,12532.17,7549.295775,2423.529412
12635.25,7693.450704,2402.941176,12635.25,7693.450704,2402.941176
12486.85,7777.570423,2408.823529,12486.85,7777.570423,2408.823529
11915.55,7195.105634,2529.411765,11915.55,7195.105634,2529.411765
12478.05,6793.450704,2723.529412,12478.05,6793.450704,2723.529412
12388.53,6648.661972,2770.588235,12388.53,6648.661972,2770.588235
11906.4,5743.626761,2785.294118,11906.4,5743.626761,2785.294118
12501.17,6058.415493,2761.764706,12501.17,6058.415493,2761.764706
11783.77,5613.556338,2720.588235,11783.77,5613.556338,2720.588235
11368.57,5068.415493,2682.352941,11368.57,5068.415493,2682.352941
11228.7,4871.478873,2608.823529,11228.7,4871.478873,2608.823529
11167.08,4868.802817,2591.176471,11167.08,4868.802817,2591.176471
11131.35,4663.697183,2582.352941,11131.35,4663.697183,2582.352941
11149.93,4962.394366,2673.529412,11149.93,4962.394366,2673.529412
11230.1,4665.774648,2832.352941,11230.1,4665.774648,2832.352941
11920.45,5290.140845,3002.941176,11920.45,5290.140845,3002.941176
11763.3,5040.985915,3097.058824,11763.3,5040.985915,3097.058824
11691.4,4998.873239,3164.705882,11691.4,4998.873239,3164.705882
11868.85,4977.464789,3220.588235,11868.85,4977.464789,3220.588235
12213.92,5536.514085,3344.117647,12213.92,5536.514085,3344.117647
11989.85,5455.28169,2952.941176,11989.85,5455.28169,2952.941176
12195.5,5840.035211,2650,12195.5,5840.035211,2650
12527.55,6541.126761,2550,12527.55,6541.126761,2550
11840.6,6544.190141,2464.705882,11840.6,6544.190141,2464.705882
